,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,x_He,Py_He,Pe_He,x_H2,Py_H2,Pe_H2,x_CO2,Py_CO2,Pe_CO2,x_O2,Py_O2,Pe_O2,x_H2S,Py_H2S,Pe_H2S,x_N2,Py_N2,Pe_N2,x_CO,Py_CO,Pe_CO,x_CH4,Py_CH4,Pe_CH4,x_C2H6,Py_C2H6,Pe_C2H6,x_SF6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
4,polymer,PI-0.25,none,polyimides,0.0,,50.0,,,411.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,1.0,193.0,1.29171256959143e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
5,polymer,PI-0.50,none,polyimides,0.0,,50.0,,,219.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,1.0,133.0,8.9014389510705e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
6,polymer,PI-0.75,none,polyimides,0.0,,50.0,,,63.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,1.0,105.0,7.02745180347671e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
7,polymer,PI-1.00,none,polyimides,0.0,,50.0,,,53.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,1.0,59.0,3.94875863242977e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
8,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,,,367.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,1.0,157.0,1.0507713649008e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
9,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,,,83.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,1.0,74.0,4.95268031864073e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
10,polymer,IPI-0.75,none,ionic copolyimides,0.0,,50.0,,,56.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,1.0,33.0,2.20862770966411e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
11,polymer,IPI-1.00,none,ionic copolyimides,0.0,,50.0,,,41.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,1.0,11.0,7.36209236554703e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
297,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,none,,,0.0,1.0,758.0,2.81841717832558e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
298,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,0.0,1.0,1706.0,5.18997089901786e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
299,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,1200.0,1.0,1140.0,3.46809309781967e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
314,polymer,EtOH_100 treaded,none,PIM-1,0.0,,125.4,,,759.0,2.14,298.0,,,100000.0,,none,,,2117.0,1.0,1128.0,3.01016390761818e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
357,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,none,,,3.998911,1.0,779.8514,2.89966567585917e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
358,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,none,,,37.73106,1.0,826.3419,3.07252797642506e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
359,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,none,,,248.9525,1.0,983.1133,3.65543985878674e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
360,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,7.024282,1.0,1494.707,4.54717809645855e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
361,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,62.81426,1.0,1377.378,4.19024134639357e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
362,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,571.8492,1.0,1218.425,3.70667660764117e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
363,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,,,759.0,2.14,298.0,,,100000.0,,none,,,2.796417,1.0,1206.038,3.63904042723045e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
364,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,,,759.0,2.14,298.0,,,100000.0,,none,,,27.59159,1.0,1157.736,3.49329632072959e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
365,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,,,759.0,2.14,298.0,,,100000.0,,none,,,185.3366,1.0,1096.329,3.30800982435473e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
366,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,,,759.0,2.14,298.0,,,100000.0,,none,,,3.998911,1.0,921.5036,2.32719898159977e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
367,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,,,759.0,2.14,298.0,,,100000.0,,none,,,28.85321,1.0,930.9683,2.35110148203618e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
